Language,Year_Introduced,StackOverflow_Popularity,Job_Demand_Index,Developer_Usage_Score,Popularity_Rating,Rank,Created_By
Julia,2012,93,98,99,9.67,1.0,"Jeff Bezanson, Stefan Karpinski, Viral B. Shah, Alan Edelman"
Fortran,1957,96,76,97,8.97,2.5,John Backus (IBM)
Zig,2016,100,94,75,8.97,2.5,Andrew Kelley
Ruby,1995,86,92,77,8.5,4.0,Yukihiro Matsumoto
Assembly,1949,62,97,83,8.07,5.0,Kathleen Booth
Elixir,2011,92,69,79,8.0,6.0,José Valim
C#,2000,50,100,87,7.9,7.0,Anders Hejlsberg (Microsoft)
Groovy,2003,100,61,73,7.8,8.0,James Strachan
JavaScript,1995,74,94,63,7.7,9.0,Brendan Eich
Bash,1989,78,73,79,7.67,10.0,Brian Fox
TypeScript,2012,86,55,88,7.63,11.0,Anders Hejlsberg (Microsoft)
Solidity,2014,40,94,84,7.27,12.0,Gavin Wood
Nim,2008,77,40,97,7.13,13.0,Andreas Rumpf
Scala,2004,65,83,62,7.0,14.0,Martin Odersky
R,1993,68,70,71,6.97,15.0,Ross Ihaka y Robert Gentleman
Python,1991,60,52,96,6.93,16.0,Guido van Rossum
C,1972,66,86,53,6.83,17.0,Dennis Ritchie
MATLAB,1984,88,53,57,6.6,18.0,Cleve Moler
PHP,1995,78,77,40,6.5,19.5,Rasmus Lerdorf
Dart,2011,60,64,71,6.5,19.5,Lars Bak y Kasper Lund (Google)
Objective-C,1984,85,52,57,6.47,21.0,Brad Cox y Tom Love
COBOL,1959,52,54,84,6.33,22.0,Grace Hopper y equipo CODASYL
Go,2009,61,69,59,6.3,23.0,"Robert Griesemer, Rob Pike, Ken Thompson (Google)"
Java,1995,84,67,35,6.2,24.5,James Gosling (Sun Microsystems)
C++,1985,65,91,30,6.2,24.5,Bjarne Stroustrup
Delphi,1995,72,35,78,6.17,26.0,Anders Hejlsberg (Borland)
Swift,2014,75,62,45,6.07,27.0,Chris Lattner (Apple)
Haskell,1990,55,35,91,6.03,28.0,"Lennart Augustsson, Simon Peyton Jones, et al."
Kotlin,2011,96,41,38,5.83,29.0,JetBrains (Andrey Breslav et al.)
PowerShell,2006,68,43,53,5.47,30.0,Jeffrey Snover (Microsoft)
Ada,1980,44,64,51,5.3,31.0,Jean Ichbiah (CII Honeywell Bull)
Rust,2010,43,66,48,5.23,32.0,Graydon Hoare (Mozilla)
Perl,1987,75,38,37,5.0,33.0,Larry Wall
Visual Basic,1991,59,43,43,4.83,34.0,Alan Cooper (Microsoft)
Crystal,2014,50,53,35,4.6,35.0,"Ary Borenszweig, Juan Wajnerman, Brian Cardiff"
